Type,Run,Epoch1,Epoch2,Stage1,Stage2,Similarity,Matrix_Type,n
Between_Epochs,2,175,180,after_training,after_training,0.55535626,binary,5
Between_Epochs,2,180,185,after_training,after_training,0.55494752,binary,5
Between_Epochs,2,185,190,after_training,after_training,0.55602995,binary,5
Between_Epochs,2,190,195,after_training,after_training,0.55571709,binary,5
Between_Epochs,3,5,10,after_training,after_training,0.54855432,binary,5
Between_Epochs,3,0,5,after_training,after_training,0.55455052,binary,5
Between_Epochs,3,10,15,after_training,after_training,0.55337161,binary,5
Between_Epochs,3,15,20,after_training,after_training,0.55233853,binary,5
Between_Epochs,3,20,25,after_training,after_training,0.55197848,binary,5
Between_Epochs,3,25,30,after_training,after_training,0.55243457,binary,5
Between_Epochs,3,30,35,after_training,after_training,0.55344374,binary,5
Between_Epochs,3,35,40,after_training,after_training,0.55476725,binary,5
Between_Epochs,3,55,60,after_training,after_training,0.55387664,binary,5
Between_Epochs,3,50,55,after_training,after_training,0.55517680,binary,5
Between_Epochs,3,40,45,after_training,after_training,0.55580357,binary,5
Between_Epochs,3,45,50,after_training,after_training,0.55467092,binary,5
Between_Epochs,3,60,65,after_training,after_training,0.55580357,binary,5
Between_Epochs,3,70,75,after_training,after_training,0.55565889,binary,5
Between_Epochs,3,65,70,after_training,after_training,0.55775946,binary,5
Between_Epochs,3,75,80,after_training,after_training,0.55505632,binary,5
Between_Epochs,3,80,85,after_training,after_training,0.55558655,binary,5
Between_Epochs,3,85,90,after_training,after_training,0.55455052,binary,5
Between_Epochs,3,90,95,after_training,after_training,0.55628605,binary,5
Between_Epochs,3,95,100,after_training,after_training,0.55717943,binary,5
Between_Epochs,3,100,105,after_training,after_training,0.55455052,binary,5
Between_Epochs,3,110,115,after_training,after_training,0.55679298,binary,5
Between_Epochs,3,105,110,after_training,after_training,0.55606890,binary,5
Between_Epochs,3,115,120,after_training,after_training,0.55561066,binary,5
Between_Epochs,3,120,125,after_training,after_training,0.55713111,binary,5
Between_Epochs,3,130,135,after_training,after_training,0.55464684,binary,5
Between_Epochs,3,125,130,after_training,after_training,0.55821897,binary,5
Between_Epochs,3,135,140,after_training,after_training,0.55539370,binary,5
Between_Epochs,3,140,145,after_training,after_training,0.55592416,binary,5
Between_Epochs,3,150,155,after_training,after_training,0.55539370,binary,5
Between_Epochs,3,145,150,after_training,after_training,0.55672054,binary,5
Between_Epochs,3,155,160,after_training,after_training,0.55640672,binary,5
Between_Epochs,3,160,165,after_training,after_training,0.55546601,binary,5
Between_Epochs,3,175,180,after_training,after_training,0.55573123,binary,5
Between_Epochs,3,165,170,after_training,after_training,0.55551423,binary,5
Between_Epochs,3,170,175,after_training,after_training,0.55563477,binary,5
Between_Epochs,3,180,185,after_training,after_training,0.55536960,binary,5
Between_Epochs,3,185,190,after_training,after_training,0.55382853,binary,5
Between_Epochs,3,190,195,after_training,after_training,0.55426165,binary,5
Between_Epochs,4,0,5,after_training,after_training,0.55389315,binary,5
Between_Epochs,4,10,15,after_training,after_training,0.55229643,binary,5
Between_Epochs,4,5,10,after_training,after_training,0.54894437,binary,5
Between_Epochs,4,15,20,after_training,after_training,0.55343315,binary,5
Between_Epochs,4,30,35,after_training,after_training,0.55488670,binary,5
Between_Epochs,4,20,25,after_training,after_training,0.54899250,binary,5
Between_Epochs,4,25,30,after_training,after_training,0.55360259,binary,5
Between_Epochs,4,35,40,after_training,after_training,0.55273158,binary,5
Between_Epochs,4,40,45,after_training,after_training,0.55382050,binary,5
Between_Epochs,4,45,50,after_training,after_training,0.55505646,binary,5
Between_Epochs,4,50,55,after_training,after_training,0.55695056,binary,5
Between_Epochs,4,55,60,after_training,after_training,0.55534756,binary,5
Between_Epochs,4,60,65,after_training,after_training,0.55636727,binary,5
Between_Epochs,4,70,75,after_training,after_training,0.55478971,binary,5
Between_Epochs,4,65,70,after_training,after_training,0.55614865,binary,5
Between_Epochs,4,75,80,after_training,after_training,0.55646445,binary,5
Between_Epochs,4,80,85,after_training,after_training,0.55624581,binary,5
Between_Epochs,4,85,90,after_training,after_training,0.55425650,binary,5
Between_Epochs,4,90,95,after_training,after_training,0.55464425,binary,5
Between_Epochs,4,95,100,after_training,after_training,0.55641586,binary,5
Between_Epochs,4,100,105,after_training,after_training,0.55559023,binary,5
Between_Epochs,4,105,110,after_training,after_training,0.55563877,binary,5
Between_Epochs,4,110,115,after_training,after_training,0.55549315,binary,5
Between_Epochs,4,115,120,after_training,after_training,0.55685332,binary,5
Between_Epochs,4,120,125,after_training,after_training,0.55707213,binary,5
Between_Epochs,4,125,130,after_training,after_training,0.55612436,binary,5
Between_Epochs,4,130,135,after_training,after_training,0.55345736,binary,5
Between_Epochs,4,135,140,after_training,after_training,0.55522626,binary,5
Between_Epochs,4,140,145,after_training,after_training,0.55571159,binary,5
Between_Epochs,4,145,150,after_training,after_training,0.55181323,binary,5
Between_Epochs,4,150,155,after_training,after_training,0.55629439,binary,5
Between_Epochs,4,155,160,after_training,after_training,0.55500795,binary,5
Between_Epochs,4,160,165,after_training,after_training,0.55345736,binary,5
Between_Epochs,4,165,170,after_training,after_training,0.55634297,binary,5
Between_Epochs,4,170,175,after_training,after_training,0.55724237,binary,5
Between_Epochs,4,175,180,after_training,after_training,0.55488670,binary,5
Between_Epochs,4,190,195,after_training,after_training,0.55612436,binary,5
Between_Epochs,4,180,185,after_training,after_training,0.55362680,binary,5
Between_Epochs,4,185,190,after_training,after_training,0.55345736,binary,5
Between_Epochs,0,0,10,after_training,after_training,0.53889571,binary,10
Between_Epochs,0,20,30,after_training,after_training,0.54377327,binary,10
Between_Epochs,0,10,20,after_training,after_training,0.54734440,binary,10
Between_Epochs,0,30,40,after_training,after_training,0.54803672,binary,10
Between_Epochs,0,50,60,after_training,after_training,0.55021321,binary,10
Between_Epochs,0,40,50,after_training,after_training,0.54858625,binary,10
Between_Epochs,0,70,80,after_training,after_training,0.55359770,binary,10
Between_Epochs,0,60,70,after_training,after_training,0.55030902,binary,10
Between_Epochs,0,80,90,after_training,after_training,0.55354959,binary,10
Between_Epochs,0,90,100,after_training,after_training,0.55227575,binary,10
Between_Epochs,0,100,110,after_training,after_training,0.55078825,binary,10
Between_Epochs,0,110,120,after_training,after_training,0.55117185,binary,10
Between_Epochs,0,120,130,after_training,after_training,0.54997374,binary,10
Between_Epochs,0,130,140,after_training,after_training,0.55287636,binary,10
Between_Epochs,0,140,150,after_training,after_training,0.55299653,binary,10
Between_Epochs,0,150,160,after_training,after_training,0.54951894,binary,10
Between_Epochs,0,160,170,after_training,after_training,0.55357364,binary,10
Between_Epochs,0,170,180,after_training,after_training,0.55299653,binary,10
Between_Epochs,0,180,190,after_training,after_training,0.55234780,binary,10
Between_Epochs,1,0,10,after_training,after_training,0.54673757,binary,10
Between_Epochs,1,10,20,after_training,after_training,0.54731161,binary,10
Between_Epochs,1,20,30,after_training,after_training,0.54208920,binary,10
Between_Epochs,1,40,50,after_training,after_training,0.54848494,binary,10
Between_Epochs,1,30,40,after_training,after_training,0.55167868,binary,10
Between_Epochs,1,50,60,after_training,after_training,0.54999613,binary,10
Between_Epochs,1,60,70,after_training,after_training,0.55042844,binary,10
Between_Epochs,1,70,80,after_training,after_training,0.55146215,binary,10
Between_Epochs,1,80,90,after_training,after_training,0.55437839,binary,10
Between_Epochs,1,90,100,after_training,after_training,0.55225640,binary,10
